ds,y
1579698900000,527.0
1579699800000,535.0
1579700700000,550.0
1579701600000,490.0
1579702500000,536.0
1579703400000,491.0
1579704300000,446.0
1579705200000,522.0
1579706100000,619.0
1579707000000,659.0
1579707900000,719.0
1579708800000,761.0
1579709700000,748.0
1579710600000,739.0
1579711500000,826.0
1579712400000,790.0
1579713300000,684.0
1579714200000,709.0
1579715100000,634.0
1579716000000,505.0
1579716900000,495.0
1579717800000,484.0
1579718700000,442.0
1579719600000,370.0
1579720500000,212.0
1579721400000,212.0
1579722300000,251.0
1579723200000,117.0
1579724100000,105.0
1579725000000,108.0
1579725900000,306.0
1579726800000,367.0
1579727700000,103.0
1579728600000,104.0
1579729500000,105.0
1579730400000,104.0
1579731300000,104.0
1579732200000,103.0
1579733100000,104.0
1579734000000,103.0
1579734900000,103.0
1579735800000,104.0
1579736700000,103.0
1579737600000,97.0
1579738500000,103.0
1579739400000,108.0
1579740300000,116.0
1579741200000,112.0
1579742100000,104.0
1579743000000,104.0
1579743900000,104.0
1579744800000,104.0
1579745700000,104.0
1579746600000,104.0
1579747500000,103.0
1579748400000,103.0
1579749300000,104.0
1579750200000,103.0
1579751100000,104.0
1579752000000,104.0
1579752900000,104.0
1579753800000,110.0
1579754700000,116.0
1579755600000,109.0
1579756500000,104.0
1579757400000,104.0
1579758300000,104.0
1579759200000,102.0
1579760100000,53.0
1579761000000,52.0
1579761900000,53.0
1579762800000,60.0
1579763700000,197.0
1579764600000,194.0
1579765500000,195.0
1579766400000,193.0
1579767300000,195.0
1579768200000,200.0
1579769100000,203.0
1579770000000,259.0
1579770900000,938.0
1579771800000,1048.0
1579772700000,1249.0
1579773600000,1230.0
1579774500000,1225.0
1579775400000,1217.0
1579776300000,1212.0
1579777200000,982.0
1579778100000,878.0
1579779000000,774.0
1579779900000,755.0
1579780800000,913.0
1579782600000,1785.0
1579783500000,1011.0
1579784400000,858.0
1579785300000,920.0
1579786200000,642.0
1579787100000,693.0
1579788000000,842.0
1579788900000,841.0
1579789800000,895.0
1579790700000,826.0
